iter	Logloss
137	0.5103750822
138	0.5102300943
139	0.5101648759
140	0.5100627757
141	0.510002354
142	0.5099112176
143	0.5098124226
144	0.5097214474
145	0.5096069726
146	0.5094624684
147	0.5093521454
148	0.5092928523
149	0.5092302136
150	0.5091283149
151	0.5090186771
152	0.5089227843
153	0.5088108893
154	0.5086808959
155	0.5085890743
156	0.5084957612
157	0.5084252625
158	0.5083547638
159	0.5082695526
160	0.5082144919
161	0.508128273
162	0.5080228675
163	0.5079191147
164	0.507845875
165	0.5077205574
166	0.5076550569
167	0.5075671854
168	0.5074914063
169	0.5074352573
170	0.5073415411
171	0.5072211008
172	0.5071451605
173	0.5070661971
174	0.5069942069
175	0.5068798934
176	0.5067862982
177	0.50672765
178	0.5066552165
179	0.5065884664
180	0.5065070039
181	0.506457546
182	0.5063469811
183	0.5062468963
184	0.5061454813
185	0.5060460817
186	0.505971915
187	0.5058808189
188	0.5057765823
189	0.5056993119
190	0.5056304255
191	0.5055189738
192	0.5054396476
193	0.5053675769
194	0.5052894196
195	0.5052203317
196	0.50516253
197	0.5050804226
198	0.5049819904
199	0.5049163689
200	0.5048407511
201	0.5047583615
202	0.5046869357
203	0.5046116
204	0.504541061
205	0.504450771
206	0.5043926469
207	0.5043088465
208	0.5042497549
209	0.5041726457
210	0.5041182299
211	0.5040295119
212	0.503967881
213	0.5039150775
214	0.5038219256
215	0.5037824238
216	0.5037260329
217	0.5036735115
218	0.5036190554
219	0.503545332
220	0.5034675778
221	0.5034031253
222	0.503331498
223	0.5032436668
224	0.5032187564
225	0.5031610354
226	0.5030498255
227	0.5029904921
228	0.5029334966
229	0.5028879889
230	0.502817732
231	0.5027638402
232	0.5027075299
233	0.5026298563
234	0.5025771737
235	0.5025149785
236	0.5024306944
237	0.5023562052
238	0.5022983632
239	0.5022145225
240	0.5021578897
241	0.5021121804
242	0.502052323
243	0.5020138289
244	0.5019266023
245	0.5018479211
246	0.5017671035
247	0.5017192579
248	0.5016504521
249	0.5015706422
250	0.501521144
251	0.5014731371
252	0.5014191647
253	0.5013693037
254	0.5013321397
255	0.50126152
256	0.5012291124
257	0.5011694968
258	0.5011217318
259	0.5010656634
260	0.5010206393
261	0.500972834
262	0.500917088
263	0.500830063
264	0.5007811694
265	0.5007407404
266	0.5006716525
267	0.5005924069
268	0.5005331542
269	0.5004753121
270	0.5004152532
271	0.5003743003
272	0.5003319365
273	0.50028921
274	0.5002450727
275	0.5001880772
276	0.5001366845
277	0.5001091944
278	0.50005365
279	0.4999920593
280	0.4999593695
281	0.4999105162
282	0.4998814541
283	0.4998170016
284	0.4997772982
285	0.4997134906
286	0.4996548021
287	0.4996181218
288	0.4995639479
289	0.4995385538
290	0.4994950212
291	0.4994436687
292	0.4993969921
293	0.4993447932
294	0.499304203
295	0.499256962
296	0.4991901716
297	0.4991613111
298	0.4990852498
299	0.4990465138
300	0.4989796428
301	0.4989296609
302	0.4988819362
303	0.4988415073
304	0.4987921702
305	0.4987530312
306	0.4987141339
307	0.4986566547
308	0.4986061084
309	0.4985544336
310	0.4984963497
311	0.4984637808
312	0.4984222636
313	0.4983676865
314	0.4983219369
315	0.4982724387
316	0.4982402729
317	0.4982008516
318	0.4981714671
319	0.498111126
320	0.4980465928
321	0.4979872191
322	0.4979485637
323	0.4979132136
324	0.4978693988
325	0.497807002
326	0.4977679838
327	0.4977243705
328	0.4976834579
329	0.4976527432
330	0.4975854288
331	0.497564912
332	0.4975258536
333	0.4974747833
334	0.4974552339
335	0.4974205287
336	0.4973762302
337	0.4973260064
338	0.4972970653
339	0.497240634
340	0.4971946829
341	0.4971529641
342	0.4971233377
343	0.4970832312
344	0.4970286139
345	0.4969955613
346	0.4969470707
347	0.4969246595
348	0.4968930983
349	0.4968630688
350	0.4968436001
351	0.4967806389
352	0.4967452485
353	0.4967004663
354	0.4966553213
355	0.4965913525
356	0.4965392745
357	0.4965132355
358	0.4964744189
359	0.4964287096
360	0.4964035574
361	0.4963563567
362	0.4963119776
363	0.4962493793
364	0.4962195513
365	0.4962034684
366	0.4961681989
367	0.4961278103
368	0.4961041092
369	0.496064043
370	0.496025831
371	0.4959917304
372	0.4959680696
373	0.4959269151
374	0.4959022869
375	0.4958646392
376	0.4958232026
377	0.4957799118
378	0.49572602
379	0.495681923
380	0.4956581413
381	0.4956054587
382	0.495567811
383	0.495509445
384	0.4954868725
385	0.4954294336
386	0.4953929145
387	0.4953511957
388	0.4953297921
389	0.4952967799
390	0.4952586082
391	0.4951988717
392	0.4951796045
393	0.4951390143
394	0.4951008829
395	0.4950646863
396	0.4950262728
397	0.4949957999
398	0.4949614978
399	0.4949320729
400	0.4949049053
401	0.4948658065
402	0.4948362205
403	0.4948214677
404	0.4947817643
405	0.4947522589
406	0.4947316615
407	0.4946934495
408	0.4946483448
409	0.4945967908
410	0.4945466074
411	0.4945045661
412	0.4944767536
413	0.4944402748
414	0.49439384
415	0.4943631253
416	0.4943256791
417	0.4942923041
418	0.4942697719
419	0.4942358325
420	0.49420278
421	0.4941805702
422	0.4941431241
423	0.4941113614
424	0.4940829442
425	0.4940338088
426	0.4940120424
427	0.4939668571
428	0.4939486782
429	0.4939251383
430	0.4939091764
431	0.4938706016
432	0.4938288828
433	0.4937943791
434	0.4937522572
435	0.493720293
436	0.4936794207
437	0.4936442318
438	0.4936189989
439	0.4935906624
440	0.4935689364
441	0.4935134726
442	0.4934794123
443	0.4934532121
444	0.493436323
445	0.4934065757
446	0.4933801739
447	0.4933617129
448	0.4933264433
449	0.4933047979
450	0.4932646109
451	0.4932359922
452	0.4931881062
453	0.493155618
454	0.493128007
455	0.493104064
456	0.4930753244
457	0.4930436423
458	0.4930190141
459	0.4929759248
460	0.4929481123
461	0.4929192921
462	0.4928913989
463	0.4928584673
464	0.4928370637
465	0.4928087675
466	0.4927965138
467	0.4927637031
468	0.4927329481
469	0.4927052968
470	0.492672083
471	0.4926303642
472	0.4925853401
473	0.4925622839
474	0.4925297554
475	0.4924886412
476	0.4924662299
477	0.4924296706
478	0.4924033494
479	0.4923669916
480	0.4923305532
481	0.492295848
482	0.492248607
483	0.4921947958
484	0.4921600099
485	0.4921410249
486	0.4921140185
487	0.4920849967
488	0.492046825
489	0.4920267516
490	0.4919871288
491	0.4919550034
492	0.4919295287
493	0.491915179
494	0.4918897447
495	0.4918596346
496	0.4918187623
497	0.4917889746
498	0.4917642255
499	0.4917445149
500	0.4917190805
501	0.4917024333
502	0.4916721217
503	0.4916530963
504	0.4916178268
505	0.4916040818
506	0.4915698199
507	0.4915391858
508	0.4915198783
509	0.4914751767
510	0.491446558
511	0.4914270086
512	0.4914001635
513	0.4913663854
514	0.4913361544
515	0.4913105185
516	0.4912835121
517	0.4912646882
518	0.4912444939
519	0.4912175682
520	0.4911872968
521	0.4911623059
522	0.4911386048
523	0.4911106713
524	0.4910889453
525	0.4910594801
526	0.4910173582
527	0.4909884171
528	0.4909649981
529	0.4909487137
530	0.4909210221
531	0.4908984093
532	0.4908830116
533	0.4908528209
534	0.4908100138
535	0.490778896
536	0.4907515672
537	0.490720006
538	0.4906765943
539	0.4906404783
540	0.4906144393
541	0.4905928745
542	0.4905526874
543	0.4905195542
544	0.4904904518
545	0.4904634858
546	0.4904428481
547	0.4904043136
548	0.490382386
549	0.490362232
550	0.490335669
551	0.4903051156
552	0.4902734335
553	0.4902357858
554	0.4902184533
555	0.4901948731
556	0.490166456
557	0.4901323957
558	0.4900941031
559	0.4900662099
560	0.4900407756
561	0.4900098996
562	0.4899766455
563	0.4899578217
564	0.4899339593
565	0.4899185214
566	0.489896876
567	0.4898735779
568	0.4898496753
569	0.4898138415
570	0.4897792169
571	0.4897432218
572	0.4897192385
573	0.4896946103
574	0.489660671
575	0.489629795
576	0.4896089558
577	0.4895921474
578	0.4895715903
579	0.4895378928
580	0.4895026232
581	0.489480736
582	0.4894413954
583	0.4894214026
584	0.4893897205
585	0.4893757739
586	0.489348566
587	0.4893209147
588	0.4893055977
589	0.4892776642
590	0.4892452566
591	0.4892187742
592	0.4891934607
593	0.4891744354
594	0.4891569014
595	0.4891334824
596	0.4891131672
597	0.4890943836
598	0.4890768497
599	0.4890453288
600	0.4890183224
601	0.4889873255
602	0.4889428658
603	0.4889029609
604	0.4888824844
605	0.4888601538
606	0.4888301646
607	0.488810454
608	0.4887897356
609	0.4887724032
610	0.4887300395
611	0.4887005743
612	0.4886889656
613	0.4886633297
614	0.4886430548
615	0.4886337839
616	0.4886106068
617	0.4885850112
618	0.4885538934
619	0.488523864
620	0.4885013318
621	0.4884778322
622	0.4884461501
623	0.4884208367
624	0.4884038267
625	0.4883798837
626	0.4883493705
627	0.4883126903
628	0.4882943904
629	0.4882627889
630	0.4882498904
631	0.488211759
632	0.48818834
633	0.4881691534
634	0.4881300143
635	0.4881050233
636	0.4880803548
637	0.4880616519
638	0.4880407724
639	0.4880086066
640	0.4879834544
641	0.4879562465
642	0.4879375838
643	0.4879158578
644	0.4879052971
645	0.4878857074
646	0.4878559198
647	0.4878327024
648	0.4878090013
649	0.4877849374
650	0.4877634532
651	0.4877331013
652	0.4877086343
653	0.4876804993
654	0.4876551456
655	0.4876382565
656	0.4876286632
657	0.4876073806
658	0.4875718692
659	0.4875521586
660	0.4875267242
661	0.4875113669
662	0.4874860534
663	0.4874617074
664	0.4874478817
665	0.4874282517
666	0.4874131362
667	0.4873881856
668	0.4873727879
669	0.4873452978
670	0.4873139785
671	0.4873004753
672	0.4872871737
673	0.4872746782
674	0.4872558946
675	0.487237232
676	0.4872102257
677	0.4871770119
678	0.4871492396
679	0.4871283601
680	0.487105707
681	0.4870883342
682	0.4870629402
683	0.4870459705
684	0.4870253731
685	0.4870052191
686	0.4869733354
687	0.4869489894
688	0.4869218218
689	0.4868962665
690	0.4868557166
691	0.4868404399
692	0.4868224625
693	0.4867971088
694	0.4867696993
695	0.4867462401
696	0.4867274162
697	0.4867093582
698	0.4866862214
699	0.4866633668
700	0.4866422857
701	0.4866175366
702	0.4866029048
703	0.4865831538
704	0.4865744473
705	0.4865480859
706	0.486533978
707	0.4865177742
708	0.4864916949
709	0.4864705332
710	0.4864497343
711	0.4864276455
712	0.4864024933
713	0.4863723832
714	0.4863488433
715	0.4863302613
716	0.4863162744
717	0.4862987808
718	0.4862747572
719	0.4862654863
720	0.4862429945
721	0.486209297
722	0.4861969224
723	0.4861730601
724	0.48614557
725	0.4861297289
726	0.4861142507
727	0.4860975228
728	0.486080795
729	0.4860624549
730	0.4860527003
731	0.4860147302
732	0.4859906663
733	0.4859730517
734	0.4859563642
735	0.4859431431
736	0.4859215783
737	0.4859122672
738	0.4858932821
739	0.4858750226
740	0.485860552
741	0.4858372137
742	0.4858114165
743	0.4857853372
744	0.4857670777
745	0.4857397489
746	0.4857238675
747	0.4856950473
748	0.4856769893
749	0.485656674
750	0.4856358348
751	0.4856128189
752	0.4855940757
753	0.4855782346
754	0.4855529212
755	0.4855399017
756	0.4855236576
757	0.4855122907
758	0.4854963287
759	0.4854751267
760	0.48546247
761	0.4854300624
762	0.4853932208
763	0.485371253
764	0.485352026
765	0.4853375555
766	0.4853230043
767	0.4852986985
768	0.485277295
769	0.4852556899
770	0.4852381559
771	0.4852121169
772	0.4851966386
773	0.4851835385
774	0.4851741871
775	0.4851554035
776	0.4851354108
777	0.4851110647
778	0.4850934501
779	0.4850828491
780	0.485067653
781	0.4850341167
782	0.4850110202
783	0.4849929219
784	0.4849791366
785	0.4849618041
786	0.4849518884
787	0.4849285903
788	0.4849059372
789	0.4848897737
790	0.4848612356
791	0.4848326572
792	0.4848118583
793	0.4847961382
794	0.4847781205
795	0.4847563945
796	0.4847420851
797	0.4847159252
798	0.4847010919
799	0.4846810185
800	0.48465897
801	0.4846394609
802	0.484627691
803	0.4846142684
804	0.4845713
805	0.4845561845
806	0.4845449386
807	0.4845184965
808	0.4844909259
809	0.4844615413
810	0.484441347
811	0.4844267958
812	0.4844072464
813	0.4843885032
814	0.4843591589
815	0.4843291698
816	0.4843132078
817	0.4842977698
818	0.4842802762
819	0.4842678613
820	0.4842515365
821	0.484232229
822	0.4842159849
823	0.4841909939
824	0.4841619318
825	0.4841436723
826	0.4841263398
827	0.4841142474
828	0.4841001799
829	0.4840805902
830	0.4840601138
831	0.4840429829
832	0.4840250861
833	0.4840104946
834	0.4839952582
835	0.4839775226
836	0.4839638179
837	0.4839458808
838	0.4839326195
839	0.4839079107
840	0.4838876358
841	0.4838680058
842	0.4838540592
843	0.4838259645
844	0.4838177013
845	0.4838056492
846	0.4837792475
847	0.4837567959
848	0.4837355939
849	0.4837185436
850	0.4836945604
851	0.4836721894
852	0.4836461907
853	0.4836265204
854	0.4836047944
855	0.4835814964
856	0.4835676304
857	0.4835461059
858	0.4835272015
859	0.4835054754
860	0.4834909646
861	0.4834638373
862	0.4834386044
863	0.4834159513
864	0.4834047457
865	0.4833860831
866	0.4833619386
867	0.4833418652
868	0.4833190509
869	0.4833047818
870	0.4832826124
871	0.4832701975
872	0.4832564525
873	0.4832375077
874	0.4832265843
875	0.4832151368
876	0.4832021576
877	0.4831886141
878	0.4831685004
879	0.4831452024
880	0.4831281521
881	0.4831017906
882	0.4830753889
883	0.4830511235
884	0.4830375397
885	0.4830102511
886	0.4830026329
887	0.4829925962
888	0.4829734499
889	0.482941405
890	0.4829154467
891	0.482894164
892	0.4828782021
893	0.4828446658
894	0.4828281395
895	0.4828140317
896	0.4827973442
897	0.4827687658
898	0.4827528844
899	0.4827268052
900	0.4827064496
901	0.4826875451
902	0.4826604582
903	0.4826536461
904	0.4826424405
905	0.4826298644
906	0.4826047928
907	0.4825864526
908	0.4825746424
909	0.4825626709
910	0.4825328027
911	0.482513616
912	0.4824904792
913	0.4824721391
914	0.4824543633
915	0.4824359828
916	0.4824227215
917	0.4824047844
918	0.4823891852
919	0.4823634284
920	0.4823477486
921	0.482331061
922	0.4823167114
923	0.4823071584
924	0.482291801
925	0.4822750329
926	0.4822561284
927	0.482246253
928	0.4822344024
929	0.4822254137
930	0.4822020754
931	0.4821831709
932	0.482155963
933	0.4821445558
934	0.4821195246
935	0.4821099716
936	0.4820957428
937	0.4820807482
938	0.4820621662
939	0.4820416898
940	0.482015933
941	0.4820071458
942	0.4819759877
943	0.4819589374
944	0.4819432576
945	0.4819303993
946	0.4819162109
947	0.4818988382
948	0.4818764672
949	0.4818589735
950	0.4818413992
951	0.4818250745
952	0.481806694
953	0.481792425
954	0.4817840812
955	0.4817632017
956	0.4817407098
957	0.4817288996
958	0.4817174118
959	0.4816988298
960	0.4816825856
961	0.4816599325
962	0.4816384484
963	0.4816261544
964	0.4816020905
965	0.4815899578
966	0.48157323
967	0.4815596462
968	0.4815437245
969	0.4815269161
970	0.4815168391
971	0.48149733
972	0.4814745963
973	0.4814592792
974	0.481449041
975	0.4814285242
976	0.4814096601
977	0.4813990187
978	0.4813854752
979	0.4813676188
980	0.4813432728
981	0.4813275526
982	0.4813037306
983	0.4812882523
984	0.4812686626
985	0.4812516929
986	0.4812371821
987	0.4812163831
988	0.4812039682
989	0.4811867567
990	0.4811713994
991	0.481150802
992	0.4811340338
993	0.4811157743
994	0.481083286
995	0.4810715967
996	0.4810570858
997	0.4810309662
998	0.4810160926
999	0.4810073054
1000	0.4809816695
1001	0.4809667959
1002	0.4809563158
1003	0.480935275
1004	0.4809164108
1005	0.4808975467
1006	0.4808899285
1007	0.4808720317
1008	0.4808623175
1009	0.4808511119
1010	0.4808352708
1011	0.4808156408
1012	0.4808039918
1013	0.4807926249
1014	0.4807769451
1015	0.4807514704
1016	0.4807385316
1017	0.480710195
1018	0.480685849
1019	0.4806611805
1020	0.4806302239
1021	0.4806081351
1022	0.4805894725
1023	0.4805793955
1024	0.4805610957
